gene,snp,snippet
BRCA2,I4000466,breast cancer
BRCA2,I4000379,breast cancer
BRCA2,I5009091,breast cancer
BRIP1,Rs4986764,familial breast cancer risk
BRIP1,Rs4986764,prostate cancer
BRIP1,Rs4986764,breast cancer
BRIP1,Rs4986764,prostate cancer.
BRIP1,Rs4986764,Kazakhstan.
BTBD9,Rs9296249,restless legs syndrome
C3,Rs11569562,bronchial asthma
C3,Rs7951,systemic lupus erythematosus (SLE)
C3,Rs7951,level of the C3 protein was lower
C6orf10,Rs3129900,liver injury
C6orf10,Rs3129900,liver injury
CACNA1A,Rs121908236,Clinical spectrum of episodic ataxia type 2.
CACNA1C,Rs80315385,arrhythmia disorder
CACNA1C,Rs80315385,arrhythmia disorder
CACNA1C,Rs80315385,cardiac L-type calcium channel mutations
CACNA1D,Rs312481,hypertension
CACNA1S,Rs1800559,malignant hyperthermia
CACNA1S,Rs1800559,malignant hyperthermia
CACNA1S,Rs1800559,hyperthermia
CACNA1S,Rs1800559,malignant hyperthermia
CACNA1S,Rs1800559,Malignant-hyperthermia
CALHM1,Rs2986017,late-onset Alzheimer's disease
CALHM1,Rs2986017,Alzheimer's disease
CAV3,Rs116840776,muscular dystrophy
CAV3,Rs116840776,sudden infant death syndrome.
CAV3,Rs116840785,rippling muscle disease.
CAV3,Rs116840785,rippling muscle disease
CAV3,Rs28936685,rippling muscle disease
CBS,Rs121964972,Homocystinuria
CCL26,Rs2302009,eosinophilic esophagitis
CCL26,Rs2302009,gastroesophageal reflux disease
CCL26,Rs2302009,"eosinophilic esophagitis,"
CCL26,Rs2302009,esophagitis
CCR5,Rs1800452,hay-fever
CD33,Rs3865444,Alzheimer's disease
CD33,Rs3865444,Alzheimer's disease
CD40,Rs4810485,Korean
CD40,Rs4810485,Europeans
CD40,Rs4810485,RA 
CD40,Rs4810485,orean ancestry
CD40,Rs4810485,European ancestry
CD40,Rs4810485,autoimmune disease
CD40,Rs4810485,Korean ancestry
CD40,Rs4810485, rheumatoid arthritis (RA)
CDH1,Rs863224505,hereditary diffuse gastric cancer
CDH1,I5004971,gastric cancer
CDH1,Rs13689,E-cadherin polymorphisms
CDH1,Rs13689,arsenic-related skin lesions
CDH1,Rs587780784,hereditary diffuse gastric cancer
CDH1,Rs587780787,pathogenic rare mutation
CDH1,Rs587780787,hereditary diffuse gastric cancer
CDH1,Rs786202033,gastric cancer
CDH23,Rs111033271,hearing loss
CDH23,Rs111033271,Usher syndrome and nonsyndromic deafness.
CDKAL1,Rs7754840,type-2 diabetes
CDKN1B,Rs34330,breast cancer
CDKN1B,Rs34330,prostate cancer 
CDKN1B,Rs34330,endometrial cancer
CDKN2B-AS1,Rs564398,gestational diabetes mellitus
CDKN2B-AS1,Rs564398,Korean population
CDKN2B-AS1,Rs564398,Western
CDKN2B-AS1,Rs564398,Chinese Han population
CDKN2B-AS1,Rs564398,Han Chinese
CDKN2B-AS1,Rs564398,Asians
CDKN2B-AS1,Rs564398,type 2 diabetes
CDKN2B-AS1,Rs564398,French Europids
CDKN2B-AS1,Rs17756311,childhood acute lymphoblastic leukemia
CDKN2B-AS1,Rs564398,obesity
CEP290,Rs752197734,Blueprint Genetics Retinal dystrophy
CETP,Rs2303790,candidate gene polymorphisms
CETP,Rs2303790,ischemic stroke
CETP,Rs2303790,ischemic stroke
CETP,Rs1532624,myocardial infarction
CETP,Rs1532624,HDL cholesterol
CETP,Rs1532624,carotid artery disease
CETP,Rs1532624,dyslipidemia
CETP,Rs1532624,cholesterol levels
CETP,Rs1532624,Polymorphism
CFH,Rs1061147,macular degeneration (damage to the eye with ageing)
CFH,Rs1061147,age related macular degeneration
CFTR,I5006080,Cystic Fibrosis
CFTR,I5006072,Cystic Fibrosisrs
CFTR,I5006071,Cystic Fibrosis
CFTR,I5006055,Cystic Fibrosisrs
CFTR,I5006063,Cystic Fibrosisrs
CFTR,I4000311,Cystic Fibrosis
CFTR,I4000308,Cystic Fibrosisrs
CFTR,I4000306,Cystic Fibrosisrs
CFTR,I4000305,cystic fibrosis
CFTR,I4000316,Cystic Fibrosisrs
CHAMP1,Rs879255261,autosomal dominant mental retardation
CHEK2,Rs1805129,silent polymorphism
CHRM3,Rs2165870,post-operative nausea
CHRM3,Rs2165870,higher risk for nausea
CHRNA3,Rs1051730,lung cancer
CHRNA3,Rs1051730,Artery Disease
CHRNA3,Rs8042374,lung cancer
CLN3,Rs386833721,Blueprint Genetics Retinal dystrophy
CLOCK,Rs1554483,obesity
CLOCK,Rs1554483,overweight
CLOCK,Rs4864548,obesity
CLOCK,Rs4864548,overweight
CNGB3,Rs121918344,colorblindness
CNGB3,Rs121918344,photophobia
CNGB3,Rs121918344,nystagmus
CNGB3,Rs121918344,20/200 visual acuity
CNR1,Rs6454674,cocaine addiction
CNR1,Rs6454674,metabolic syndrome in postmenopausal Polish women
CNR1,Rs6454674,obesity
CNR1,Rs6454674,nicotine dependence
CNR1,Rs6454674,ADHD
CNR1,Rs6454674,obesity
CNR1,Rs6454674,schizophrenia
CNR1,Rs6454674,European
COL11A1,Rs587782990,Blueprint Genetics Retinal dystrophy
COL2A1,Rs121912880,mutations
COL2A1,Rs121912880,pathogenic for Spondylometaphyseal dysplasia
COL2A1,Rs121912880,Stickler syndrome type I
COMT,Rs9332377,Cisplatin
COMT,Rs9332377,hearing loss
COMT,Rs4633,Schizophrenia Susceptibility Genetic
CSF2RB,Rs11705394,schizophrenia.
CSF2RB,Rs2072707,schizophrenia.
CTNNA2,Rs1446109,European
CTSD,Rs17571,Alzheimer's disease
CTSD,Rs17571,Alzheimer's disease
CTSD,Rs17571,Creutzfeldt-Jakob disease
CTSD,Rs17571,cognitive ability and cognitive ageing
CTSD,Rs17571,Alzheimer's disease
CTSD,Rs17571,vCJD 
CTSD,Rs17571,vCJD 
CTSD,Rs17571,Variant Creutzfeldt-Jakob disease
CTSD,Rs17571,Alzheimer disease
CYP21A2,I5005433,Congenital adrenal hyperplasiars
CYP2C8,Rs1934951,osteonecrosis of the jaw
CYP2C8,Rs1934951,myeloma
CYP2C8,Rs3832694,Cytochrome 
CYP2C9,Rs2017319,allelic expression imbalance
CYP2C9,Rs2017319,mRNA processing
CYP2C9,Rs2017319,Polymorphisms
CYP2C9,Rs2017319,gene transcription
CYP2J2,Rs10889160,myocardial infarction
CYP2J2,Rs10889160,myocardial infarction
CYP4F2,Rs2108622,cerebral infarction
DAB2IP,Rs7025486,AAA
DAB2IP,Rs7025486,peripheral arterial disease (PAD)
DAB2IP,Rs7025486,abdominal aortic aneurysm (AAA)
DAB2IP,Rs7025486,type 2 diabetes
DAB2IP,Rs7025486,arterial and venous disease
DAB2IP,Rs7025486,ischemic stroke
DAB2IP,Rs7025486,hypertension
DAB2IP,Rs7025486,pulmonary embolism
DAB2IP,Rs7025486,peripheral arterial disease PAD
DAB2IP,Rs7025486,early onset myocardial infarction (MI)
DAB2IP,Rs7025486,abdominal aortic aneurysm (AAA)
DAB2IP,Rs7025486,vascular diseases
DAB2IP,Rs7025486,intracranial aneurysm
DAO,Rs3918346,schizophrenia 
DAO,Rs3918346,autism 
DAO,Rs3918346,bipolar affective disorder
DAPK1,Rs4878104,Alzheimer's disease
DCDC2,Rs793862,dyslexia
DCDC2,Rs793862,dyslexic
DCDC2,Rs793862,dyslexic
DCHS1,Rs757309797,thoracic aortic aneurysm
DCHS1,Rs757309797,mitral valve prolapse
DGKH,Rs1012053,Bipolar disorder
DHDDS,Rs764831063,Blueprint Genetics Retinal dystrophy
DISC1,Rs3738402,schizophrenia
DOCK7,Rs267606655,coron
DOCK7,Rs267606655, artery disease
DPP6,Rs3807218,familial idiopathic ventricular fibrillation
DRD1,Rs265981,autism
DRD1,Rs4532,autism
DRD1,Rs5326,(early onset) schizophrenia
DRD4,Rs1800955,idiopathic intellectual disability
DRD4,Rs1800955,schizophrenic
DRD4,Rs1800955,schizophrenia
DRD4,Rs1800955,schizophrenia
DRD4,Rs1800955,Anorexia Nervosa
DRD4,Rs1800955,dopaminergic gene polymorphisms
DRD4,Rs1800955,schizophrenia
DRD4,Rs1800955,dopaminergic polymorphisms
DRD4,Rs1800955,borderline 
DRD4,Rs1800955,personality
DRD4,Rs1800955,borderline personality traits
DRD4,Rs1800955,Anorexia Nervosa
DRD4,Rs1800955,schizophrenia
DTNBP1,Rs760761,schizophrenia
DTNBP1,Rs760761,"decreased attentional capacity,"
DTNBP1,Rs760761,worse performance on memory tasks
DTNBP1,Rs760761,alterations in schizotypal beliefs and experiences
DTNBP1,Rs760761,major depressive disorder
DTNBP1,Rs760761,neuroticism
DTNBP1,Rs760761,anxiety
DTNBP1,Rs760761,depression
EGFR,Rs121434568,non-small cell lung cancer
EIF2AK4,Rs587777104,ulmonary capillary hemangiomatosis
EIF2AK4,Rs587777107,pulmonary hypertension
EIF2AK4,Rs587777106,pulmonary venoocclusive disease
EIF2AK4,Rs587777106,pulmonary capillary hemangiomatosis
EIF2AK4,Rs587777106,pulmonary hypertension
EIF2AK4,Rs587777102,pulmonary hypertension
EIF2AK4,Rs587777104,pulmonary hypertension
EIF2AK4,Rs587777102,pulmonary venoocclusive disease
EIF2AK4,Rs587777102,pulmonary capillary hemangiomatosis
EIF2AK4,Rs587777107,pulmonary capillary hemangiomatosis (PCH)
EIF2AK4,Rs587777104,pulmonary venoocclusive disease
EIF2AK4,Rs587777107,pulmonary venoocclusive disease (PVOD)
EIF4G1,Rs113169049,Parkinson's disease
ENG,Rs1800956,intracranial aneurysms
ENG,Rs1800956,intracranial aneurysms
ENG,Rs1800956,intracranial aneurysm
ENPP1,Rs121908248,arterial calcification
ENPP1,Rs121908248,hypophosphatemic rickets
ERAP1,Rs10050860,ankylosing spondylitis
ERAP1,Rs10050860,ankylosing spondylitis
ERAP1,Rs10050860,ankylosing spondylitis
ERAP1,Rs10050860,familial ankylosing spondylitis
ERAP1,Rs10050860,ankylosing spondylitis
ERAP1,Rs10050860,ankylosing spondylitis
ERBB4,Rs7598440,schizophrenia
ERBB4,Rs839523,schizophrenia
ERCC2,Rs13181,renal cell carcinoma
ERCC2,Rs13181,breast cancer 
ERCC2,Rs13181,bladder cancer risk
ERCC2,Rs13181,adiposity
ERCC2,Rs13181,lung cancer
ERCC2,Rs13181,Lung Cancer
ERCC2,Rs13181,colorectal cancer
ERCC2,Rs13181,esophageal cancer
ERCC2,Rs13181,breast cancer
ERCC2,Rs13181,Lung cancer
ERCC2,Rs13181,bladder cancer
ERCC2,Rs13181,head and neck squamous cell cancer
ERCC2,Rs13181,lung adenocarcinoma
ERCC2,Rs13181,lung adenocarcinoma
ERCC2,Rs13181,Head and Neck Cancer
ERCC2,Rs13181,gallbladder cancer
ERCC2,Rs13181,lung cancer
ERCC2,Rs13181,gastric and colorectal cancer
ERCC2,Rs13181,esophageal squamous cell carcinoma
ERCC2,Rs13181, oral precancer
ERCC2,Rs13181,lung cancer
ERCC2,Rs13181,lung cancer
ERCC2,Rs13181,bladder cancer
ERCC2,Rs13181,breast cancer
ERCC2,Rs13181,colorectal cancer 
ERCC2,Rs13181,pancreatic adenocarcinoma
ERCC2,Rs13181,cancer
ERCC2,Rs13181,cutaneous melanoma
ERCC2,Rs13181,ovarian cancer
ERCC2,Rs13181,ovarian cancer
ERCC2,Rs13181,Polymorphisms
ERCC2,Rs13181, lung cancer
ERCC2,Rs13181,esophageal cancer
ERCC2,Rs13181,adult glioma
ERCC2,Rs13181,genetic polymorphisms
ERCC2,Rs13181,non-small cell lung cancer patients
ERCC2,Rs13181,Bladder cancer
ERCC2,Rs13181,ovarian cancer 
ERCC2,Rs13181,Allelic imbalance
ERCC2,Rs13181,esophageal adenocarcinoma
ERCC2,Rs13181,Polymorphisms
ERCC2,Rs13181,lung cancer
ERCC2,Rs13181,lung cancer
ERCC2,Rs13181,Polymorphisms
ERCC2,Rs13181,lung cancer
ERCC2,Rs13181,Genetic polymorphisms
ERCC2,Rs13181,single nucleotide polymorphisms
ERCC2,Rs13181,cancer cells
ERCC2,Rs13181,non-melanoma skin cancer
ERCC2,Rs13181,non-Hodgkin lymphoma (NHL)
ESCO2,Rs80359851,intertissue and interindividual variation
ESCO2,Rs80359851,Nmd efficiency
ESR1,Rs3020314,follicular lymphoma
ESR1,Rs3020314,estrogen receptor-positive breast cancer risk
F11,Rs373297713,deficiency-causing mutations
F5,Rs6019,fetal growth.
F5,Rs6019,PTD
F5,Rs6019,PTD
F9,I5007022,Hemophilia
FAH,I5012861,Tyrosinemia
FAH,Rs11555096,Tyrosinemia Type I
FGFR3,I5001264,Achondroplasia
FGFR3,Rs121913114,achondroplasia
FGFR4,Rs2011077,prostate cancer
FGFR4,Rs2011077,benign prostate hyperplasia
FLG,Rs558269137,eczema.
FLG,Rs61816761,asthma predisposition
FLG,Rs61816761,type 1 diabetes
FLG,Rs61816761,eczema
FLG,Rs61816761,atopic dermatitis
FLG,Rs61816761,ichthyosis vulgaris
FLG,Rs61816761,ichthyosis vulgaris
FLG,Rs558269137,atopic dermatitis
FLG,Rs61816761,atopic dermatitis
FLG,Rs558269137,eczema
FLG,Rs558269137,atopic dermatitis
FLG,Rs558269137,ichthyosis vulgaris
FLG,Rs558269137,ichthyosis vulgaris
FLG,Rs121909626,dermatitis
FLG,Rs121909626,ichthyosis vulgaris
FLG,Rs114733570,protein truncation
FLG,Rs558269137,ichthyosis vulgaris
FMO3,Rs72549334,trimethylaminuria
FMO3,Rs72549326,trimethylaminuria
FN1,Rs137854488,glomerulopathy with fibronectin deposits
FTO,Rs1477196,Physical activity
FTO,Rs1477196,obesity
FTO,Rs1477196,diabetes
FXN,Rs144610605,Friedreich's ataxia
FXN,Rs56214919,Friedreich's ataxia
FXN,Rs148698100,Friedreich's ataxia
FXN,Rs147211454,Friedreich's ataxia
FXN,Rs144104124,Friedreich's ataxia
FXN,Rs140472905,Friedreich's ataxia
FXN,Rs142157346,Friedreich's ataxia
FXN,Rs141935559,Friedreich's ataxia
FXN,Rs141526971,Friedreich's ataxia
FXN,Rs143232208,Friedreich's ataxia
G6PD,Rs137852330,hemolytic anemia
G6PD,Rs137852330,favism
G6PD,Rs137852330,hemolytic anemia
G6PD,Rs137852330,chronic granuloma
GAB2,Rs10793294,Alzheimer's risk
GABRA2,Rs279858,Alcoholism
GALC,Rs387906952,Krabbe disease
GALC,Rs398123177,Krabbe disease
GALC,Rs749893889,Krabbe disease
GAMT,Rs80338736,Guanidinoacetate methyltransferase deficiency
GAMT,Rs80338736,error of creatine metabolism
GAMT,Rs80338736,Guanidinoacetate methyltransferase deficiency
GAMT,Rs80338736,man.
GATA3,Rs570613,breast cancer
GBA,Rs2230288,Parkinson's disease
GBA,Rs2230288,synucleinopathies
GBA,Rs2230288,"""modifier"" variant"
GBA,Rs2230288,polymorphism
GBA,Rs2230288,rapid eye movement sleep behavior disorder (RBD)
GBA,I4000419,Gaucher Disease
GBA,I4000419,Gaucher's disease
GBA,I4000386,Gaucher's disease
GBA,Rs2230288,Gaucher disease
GC,Rs4752,Asthma
GC,Rs4752,prostate cancer
GCH1,Rs8007201,tetrahydrobiopterin
GCH1,Rs8007201,cyclohydrolase
GCH1,Rs752688,Polymorphisms
GCH1,Rs752688,capsaicin pain
GCH1,Rs17738966,Impaired Vascular Function in Sickle Cell Anemia
GCH1,Rs2878172,Vasoocclusive Pain
GCH1,Rs17738966,Vasoocclusive Pain
GCH1,Rs11158026,Parkinson's disease
GCH1,Rs2878172,Impaired Vascular Function in Sickle Cell Anemia
GHRL,Rs27647,ghrelin receptor gene polymorphisms
GHRL,Rs27647,obesity
GHRL,Rs27647,ghrelin
GHRL,Rs27647,type 2 diabetes
GHRL,Rs27647,ghrelin
GHRL,Rs27647,adiposity
GJB2,I4000434,Nonsyndromic Sensorineural
GJB2,I4000434,Connexin
GJB2,I5001996,deafness
GJB2,I5004479,gene variant associated with deafness
GJB2,I6011464,associated with deafness
GJB2,Rs80338943,non-syndromic deafness
GLA,Rs28935490,fabry disease
GLA,Rs28935490,hypertrophic cardiomyopathy
GLA,Rs28935490,mental retardation
GLIS3,Rs1574285,type-1 diabetes
GNPTAB,Rs137853824,stuttering
GOLM1,Rs7019241,Alzheimer's disease
GOLM1,Rs7019241,Alzheimer's disease
GPX1,Rs1050450,Childhood Cancer Survivor Study
GPX1,Rs1050450,medulloblastoma 
GPX1,Rs1050450,tumor susceptibility
GPX1,Rs1050450,prostate cancer
GPX1,Rs1050450,breast cancer
GPX1,Rs1050450,schizophrenia
GPX1,Rs1050450,adult brain tumors
GPX1,Rs1050450,breast cancer
GPX1,Rs1050450,early onset lung cancer
GPX1,Rs1050450,breast cancer risk
GPX1,Rs1050450,lung cancer
GPX1,Rs1050450,KBD
GPX1,Rs1050450,Kashin-Beck disease (KBD) is a disabling osteoarthropathy
GPX1,Rs1050450,osteoarthritis
GPX1,Rs1050450,KBD 
GPX1,Rs1050450,degenerative osteoarthropathy
GPX1,Rs1050450,Kashin-Beck disease (KBD)
GPX1,Rs1050450,osteoarthritis
GPX1,Rs1050450,coronary artery calcification in type 2 diabetes
GRIK1,Rs2832407,alcoholism
GRN,Rs63751294,primary progressive aphasia
GRN,Rs63751294,frontotemporal dementia
GRN,Rs63751243,ubiquitin-positive frontotemporal lobar degeneration.
GRN,Rs63751243,"exhibit aphasia,"
GRN,Rs63751243,amyotrophic lateral sclerosis.
GRN,Rs63751243,extrapyramidal features
GRN,Rs63751243,amyotrophic lateral sclerosis
GRN,Rs63751243,"rs63751243, also known as c.26C>A, p.Ala9Asp and A9D, represents a relatively rare mutation in the GRN gene on chromosome 17. OMIM reports the rs63751243(A) allele as representing a dominantly inherited mutation associated with ubiquitin-positive frontotemporal lobar "
GRN,Rs63751243,extrapyramidal features
GRN,Rs63751243,aphasia
GRN,Rs63751243,ubiquitin-positive frontotemporal lobar degeneration
GRN,Rs63751243,"rs63751243, also known as c.26C>A, p.Ala9Asp and A9D, represents a relatively rare mutation in the GRN gene on chromosome 17. OMIM reports the rs63751243(A) allele as representing a dominantly inherited mutation associated with ubiquitin-positive frontotemporal loba"
GRN,Rs63751294,progranulin haploinsufficiency
HBA2,I5900722, Alpha Thalassemia
HBB,Rs33915217,Cubans
HBB,Rs33915217,Caribbean
HBB,Rs33915217,beta thalassemia
HBB,Rs33915217,Bulgaria
HBB,Rs33915217,South India
HEXA,I4000391,Tay-Sachs Disease
HEXA,Rs117160567,Tay Sachs
HFE,I3002468,hemochromatosis
HLA-DQB1,Rs1049225,Common variable immunodeficiency disorder 
HLA-DRA,Rs3129878,azoospermia (lack of sperm)
HMBS,Rs536814318,acute intermittent porphyria
HMBS,Rs536814318,intermittent porphyria.
HMGCR,Rs12654264,colorectal cancer
HMGCR,Rs12654264,CRC
HMGCR,Rs12654264,colorectal cancer
HMGCR,Rs12654264,cancer
HMGCR,Rs12654264,cardiovascular disease
HNF1A,Rs1169305,now considered benign in ClinVar
HNMT,Rs1050891,ADHD
HNMT,Rs1050891,ADHD
HSD3B2,Rs770815049,chromosome 1
HTRA1,Rs3793917,age-related macular degeneration
HTRA1,Rs3793917,anti-vascular endothelial growth
HTRA1,Rs3793917,age-related macular degeneration
HTRA1,Rs3793917,age-related macular degeneration
HTRA1,Rs3793917,nature age related macular degeneration
HTRA1,Rs3793917,age-related macular degeneration
IDS,Rs781997631,MPS type II
IGF1,Rs2195239,proliferative benign breast disease
IGF1,Rs2195239,mammographic density
IGF1,Rs2195239,breast cancer
IGF1,Rs2195239,reast cancer risk
IGF1,Rs2195239,multiple myeloma.
IGF2BP2,Rs11705701,obesity
IGF2BP2,Rs11705701,insulin sensitivity
IL10,Rs1800871,Crohn's disease
IL10,Rs1800871,AIDS-related non-Hodgkin lymphoma 
IL10,Rs1800871,knee osteoarthritis
IL10,Rs1800871,rheumatoid arthritis
IL10,Rs1800871,prostate cancer
IL10,Rs1800871,gastric cancer
IL10,Rs3024492,asthma
IL10,Rs1800871,heparin-induced thrombocytopenia.
IL10,Rs1800871,systemic sclerosis
IL10,Rs3024496,asthma
IL10,Rs3024492,allergy
IL10,Rs3024496,allergy
IL10,Rs1800871,Epstein-Barr virus
IL10,Rs1800871,Asthma
IL10,Rs1800871,Behçet's disease
IL10,Rs1800871,non-Hodgkin lymphoma
IL10,Rs1800871,endometriosis
