gene,snp,snippet
CHI3L1,Rs10399931,not with angiographic coronary artery disease
CLRN1,Rs1085307050,pathogenic
CNR1,Rs806380,cannabis dependence
CNR1,Rs806380,longest gaze duration for happy faces
CNR1,Rs806380,gaze duration for happy faces
DIO1,Rs8175347,neonatal hyperbilirubinemia
DIO1,Rs8175347,endometrial cancer risk
EDN1,Rs2071942,susceptibility to vitiligo in a Korean population
EXO1,Rs1776180,associated with longevity
EXO1,Rs72755295,breast cancer
F11,I4000399,Factor XI Deficiency
FBN1,I5043856,Marfan syndrome
FMO3,Rs72549334,lead to trimethylaminuria
FTL,Rs1114167274,pathogenic
FXN,Rs151206121,Friedreich's ataxia
GABRB3,Rs8043440,gwas
GABRB3,Rs8043440,spatial recognition
GAD1,Rs1978340,endence. Polymorphisms in the glutamate decarboxylase 1 gene associated with
GALT,Rs111033640,Duarte galactosemia
GCK,Rs104894006,late-onset noninsulin-dependent diabetes
GJB2,I6011314,gene variant associated with deafness
GNAO1,Rs1114167431,pathogenic
HBB,Rs34451549,haematological characterization of beta-thalassaemia major
HLA-DRA,Rs3129878,associated with slightly (~30%) higher risk for azoospermia (lack of sperm) and thus male infertility in both Chinese and Japanese men
HSPG2,Rs762281715,Schwartz Jampel syndrome type 1 and Lethal Kniest-like syndrome
IL12A-AS1,Rs485497,Primary biliary cirrhosis
IL18RAP,Rs11465702,herpes
IL18RAP,Rs11465702,schizophrenia
IL18RAP,Rs11465702,herpes simplex virus 1
IL18RAP,Rs11465702,schizophrenia
IL1RN,Rs9005,severity of knee osteoarthritis
IL23R,Rs11209026,ulcerative colitis
IL23R,Rs11209026,ulcerative colitis
KCNQ1,Rs104894252,cardiac arrhythmias
KL,Rs211239,sickle cell anemia
KL,Rs211239,risk for priapism
LAMB3,I5012669,"epidermolysis bullosa, junctional,"
LAMB3,I5012669,Herlitz type
LEP,Rs2071045,weight regain
LEP,Rs2071045,obesity-related genes and endometrial cancer risk
LINC-PINT,Rs4593472,breast cancer
LIPC,Rs1800588,coronary artery disease
LIPT1,Rs137973334,lipoyltransferase 1 deficiency
LRP5,Rs373910016,OMIM pathogenic
LRRK2,Rs34637584,25% chance of Parkinson's disease
LRRK2,Rs34637584, in their lifetime
LRRK2,Rs35801418,autosomal dominant Parkinson disorder
MAP2K5,Rs4489954,lower frequency of restless legs syndrome
MAP2K5,Rs4489954,ommon sleep disorder
MC1R,Rs1805009,red hair
MC1R,Rs1805009,low tanning
MGMT,Rs16906252,methylation
MGMT,Rs16906252,colorectal cancer
MMP2,Rs2285053,lumbar disc disease
MMP3,Rs679620,increased risk for Achilles tendinopathy
NPPA,Rs5068,increased circulating natriuretic peptide and thus lower blood pressure
NR3C1,Rs10482682,multiple measures of blood pressure
PAH,I4000474,nylketonur
PEX7,I3002517,Rhizomelic Chondrodysplasia Punctata Type 1
PKD1,Rs1060499702,autosomal dominant polycystic kidney disease
PKHD1,I6016828,PKHD1
PKHD1,I6016851,PKHD
PLCE1,Rs2274223,greater risk for gastric cancer
PLCE1,Rs2274223,stomach cancer
PNPLA3,Rs738409,alcoholic liver disease
PNPLA3,Rs738409,alcoholic cirrhosis
POT1,Rs758673417,increase risk for colorectal cancer
PPP1CB,Rs1114167429,pathogenic
PTPN22,Rs3761935,rheumatoid arthritis
PTPN22,Rs3761935,rheumatoid arthritis
RET,Rs17158558,Hirschsprung disease
RGS7,Rs10495476,multiple sclerosis
RGS7,Rs1342449,multiple sclerosis
RGS7,Rs1380304,multiple sclerosis
RGS7,Rs1573073,multiple sclerosis
RGS7,Rs261809,multiple sclerosis
RGS7,Rs4659583,multiple sclerosis
RGS7,Rs6697953,multiple sclerosis
RGS7,Rs716743,multiple sclerosis
RYR2,Rs10925388,multiple sclerosis
RYR2,Rs1933129,multiple sclerosis
RYR2,Rs2050656,multiple sclerosis
SERPINA3,Rs4934,chronic obstructive pulmonary disease
SMARCAD1,Rs1114167276,pathogenic
SMARCAD1,Rs1114167277,pathogenic
SNAP25,Rs362988,eastern Indian attention deficit hyperactivity disorder
SNX9,Rs78503206,thinking cilantro tastes like soap
SORL1,Rs1784931,reased (or decreased) risk for Alzheimer's disease in a study of 1
SOX5,Rs10842262,associated with non-obstructive azoospermia
SPIB,Rs3745516,1.46 times higher odds of primary biliary cirrhosis
SRD5A2,Rs523349,ovarian cancer
SSUH2,Rs116840785,rippling muscle disease
SSUH2,Rs116840785,Novel missense mutation in the caveolin-3 gene in a Belgian family with rippling mu
SSUH2,Rs116840785,cle disease.
TNNI3,I5007731,familial hypertrophic cardiomyopathy
UGT1A1,Rs8175347,neonatal hyperbilirubinemia
UGT1A1,Rs8175347,endometrial cancer risk
UNC13D,Rs121434354,pathogenic for familial hemophagocytic lymphohistiocytosis (HLH)
USH2A,Rs111033273,visual impairment in Usher syndrome 1b and Usher syndrome 2a
VDR,Rs2107301,prostate cancer
VEGFA,Rs2146323,smaller hippocampal volumes
VPS53,Rs587777465,Pontocerebellar hypoplasia type 2E
VWF,I5049117,Von Willebrand disease
VWF,I5049327,Von Willebrand disease
XIAP,Rs1085307106,pathogenic
